id_compra;id_usuario;data;dia_da_semana;categoria_cliente;valor_compra;estado
CMP001;USR001;01/07/2026;quarta-feira;Novo;89.90;SP
CMP002;USR002;02/07/2026;quinta-feira;Recorrente;245.50;RJ
CMP003;USR003;03/07/2026;sexta-feira;Premium;799.00;MG
CMP004;USR004;04/07/2026;sábado;Novo;54.75;PR
CMP005;USR005;05/07/2026;domingo;Recorrente;319.90;BA
CMP006;USR006;06/07/2026;segunda-feira;Premium;1249.00;SC
CMP007;USR007;07/07/2026;terça-feira;Novo;112.40;RS
CMP008;USR008;08/07/2026;quarta-feira;Recorrente;478.20;PE
CMP009;USR009;09/07/2026;quinta-feira;Premium;925.60;GO
CMP010;USR010;10/07/2026;sexta-feira;Novo;67.30;CE
CMP011;USR011;11/07/2026;sábado;Recorrente;189.99;DF
CMP012;USR012;12/07/2026;domingo;Premium;1560.00;ES
CMP013;USR013;13/07/2026;segunda-feira;Novo;129.50;AM
CMP014;USR014;14/07/2026;terça-feira;Recorrente;386.70;PA
CMP015;USR015;15/07/2026;quarta-feira;Premium;680.45;MT
CMP016;USR016;16/07/2026;quinta-feira;Novo;43.90;MS
CMP017;USR017;17/07/2026;sexta-feira;Recorrente;275.00;MA
CMP018;USR018;18/07/2026;sábado;Premium;1098.30;PB
CMP019;USR019;19/07/2026;domingo;Novo;98.80;RN
CMP020;USR020;20/07/2026;segunda-feira;Recorrente;530.25;AL
CMP021;USR003;21/07/2026;terça-feira;Premium;845.90;MG
CMP022;USR007;22/07/2026;quarta-feira;Recorrente;214.60;RS
CMP023;USR001;23/07/2026;quinta-feira;Recorrente;167.45;SP
CMP024;USR012;24/07/2026;sexta-feira;Premium;1389.99;ES
CMP025;USR005;25/07/2026;sábado;Recorrente;402.10;BA
CMP026;USR021;26/07/2026;domingo;Novo;76.25;RO
CMP027;USR022;27/07/2026;segunda-feira;Novo;145.00;TO
CMP028;USR023;28/07/2026;terça-feira;Novo;63.80;AC
CMP029;USR024;29/07/2026;quarta-feira;Novo;221.35;SE
CMP030;USR025;30/07/2026;quinta-feira;Novo;91.70;PI
CMP031;USR008;31/07/2026;sexta-feira;Recorrente;612.00;PE
CMP032;USR010;01/08/2026;sábado;Recorrente;308.40;CE
CMP033;USR015;02/08/2026;domingo;Premium;998.75;MT
CMP034;USR002;03/08/2026;segunda-feira;Recorrente;455.90;RJ
CMP035;USR026;04/08/2026;terça-feira;Novo;118.60;AP
CMP036;USR027;05/08/2026;quarta-feira;Novo;84.30;RR
CMP037;USR006;06/08/2026;quinta-feira;Premium;1725.00;SC
CMP038;USR011;07/08/2026;sexta-feira;Recorrente;264.95;DF
CMP039;USR004;08/08/2026;sábado;Recorrente;349.80;PR
CMP040;USR018;09/08/2026;domingo;Premium;1190.50;PB
CMP041;USR013;10/08/2026;segunda-feira;Recorrente;287.25;AM
CMP042;USR019;11/08/2026;terça-feira;Recorrente;196.40;RN
CMP043;USR014;12/08/2026;quarta-feira;Premium;735.90;PA
CMP044;USR009;13/08/2026;quinta-feira;Premium;1420.00;GO
CMP045;USR020;14/08/2026;sexta-feira;Recorrente;510.60;AL
CMP046;USR016;15/08/2026;sábado;Recorrente;159.90;MS
CMP047;USR017;16/08/2026;domingo;Premium;880.35;MA
CMP048;USR022;17/08/2026;segunda-feira;Recorrente;330.00;TO
CMP049;USR024;18/08/2026;terça-feira;Recorrente;205.75;SE
CMP050;USR025;19/08/2026;quarta-feira;Premium;1045.20;PI
CMP050;USR025;19/08/2026;quarta-feira;Premium;1045.20;PI
